Latitude,Longtitude
713367.969375,1570913.8833500003
713673.29955,1570576.7948750001
713437.5405,1570326.38675
713467.781175,1570338.5437250002
713184.5763750001,1570590.5972750003
713381.8836000001,1570342.6173500002
713460.38475,1570333.256
713380.302075,1570967.8149500003
713401.8204000001,1570291.7849
713405.3988000001,1570931.0245250002
713563.5353250001,1570692.7574000002
713429.8086,1570320.8913500002
713222.532975,1571003.8705250002
713390.238525,1570929.4589750003
713405.542575,1570332.728825
713666.0628750001,1570571.6030000001
713446.4066250001,1570322.7923750002
713191.9728,1570595.46965
713427.8277,1570946.2167500001
713431.965225,1570893.8666750002
713394.136425,1570286.7208250002
713353.7676,1571005.1645000002
713415.1116000001,1570910.0972750003
713379.407475,1570275.8418500002
713360.812575,1571010.0528500003
713351.834625,1571023.0884500002
713562.896325,1570414.5527750002
713352.8250750001,1571013.9347750002
713411.8527,1570844.3761250002
713437.70025,1570317.616475
713371.356075,1570280.2030250002
713196.238125,1570542.9758000001
713410.7823750001,1570861.2617000001
713508.6612,1570404.9198500002
713482.5261,1570348.68785
713261.7356250001,1570691.0161250003
713420.527125,1570941.4721750002
713238.39615,1570600.3580000002
713675.456175,1570550.052725
713266.25655,1570537.2248000002
713370.5253750001,1570289.2289000002
713430.1440750001,1570918.8835250002
713636.668875,1570651.7655500001
713208.794475,1570579.5585500002
713511.169275,1570378.4013500002
713453.03625,1570328.1280250002
713490.0503250001,1570353.8637500003
713189.816175,1570528.7900000003
713418.418425,1570959.2204000002
713567.529075,1570446.3909500001
713196.0464250001,1570635.2314250001
713445.128625,1570913.4839750002
713460.38475,1570536.2183750002
713407.98675,1570305.7949750002
713244.4986,1570715.9371250002
713190.40725,1570612.291325
713197.8036750001,1570617.8506250002
713347.761,1570982.1445250004
712971.693525,1570844.8394000002
713490.082275,1570834.8230750002
713276.975775,1570701.0164750002
713519.795775,1570374.519425
713236.8465750001,1570617.2435750002
713542.608075,1570760.9866250001
713187.91515,1570648.2350750002
713338.4316,1571003.8226000003
713414.9838,1570901.6944250003
713362.442025,1570992.7838750002
713327.85615,1570442.3173250002
713550.4518,1570766.5139750002
713136.7152750001,1570611.7801250003
713340.3006750001,1570977.4478750003
713257.486275,1570642.2284750002
713654.481,1570525.75475
713446.278825,1570904.1545750003
713320.0284000001,1571036.4116000002
713452.3014,1570530.5632250002
713383.4811,1570914.6980750002
713413.817625,1570826.4841250002
713250.79275,1570543.8704000001
713165.7738000001,1570632.1003250002
713128.10475,1570615.2786500002
713363.1609,1570284.3565250002
713182.4517000001,1570616.5566500002
713368.2729,1571015.3086250003
713393.689125,1570987.4003000003
713407.1241,1570812.6018500002
713558.0559,1570762.5042500002
713037.4626000001,1570891.7739500003
713408.17845,1570904.9533250001
713439.185925,1570898.8189250003
713398.46565,1570327.3772000002
713327.1852000001,1571041.5555500002
713539.87635,1570399.2647000002
713593.408575,1570603.2654500003
713459.10675,1570840.2545750001
713423.8978500001,1570307.4084500002
713377.458525,1570302.6479000002
713375.6054250001,1570328.4155750002
713250.92055,1570730.5063250002
713556.059025,1570409.632475
713422.5879,1570813.9757000003
713366.3559000001,1571033.4881750003
713372.65005,1570962.7668500002
713367.1227000001,1570332.3454250002
713482.55805,1570845.2707250002
713355.956175,1570978.9974500001
713423.1310500001,1570897.9083500002
713621.66835,1570455.4647500003
713405.4627,1570635.6947
713252.118675,1570720.7775500002
713667.74025,1570545.1484
713406.58095,1570323.3994250002
713273.205675,1571041.0763000003
713143.967925,1570616.8601750003
713251.703325,1570526.7292250001
713407.970775,1570803.3842750003
713416.5813000001,1570394.7118250001
713438.131575,1570520.530925
713579.158875,1570592.8178
713254.4510250001,1570685.6325500002
